#group,false,false,true,true,true,true,true,true,true,true,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,double,dateTime:RFC3339
#default,mean,,,,,,,,,,,
,result,table,_start,_stop,_field,_measurement,domain,entity_id,friendly_name,source,_value,_time
,,0,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,hauptzahler_verbrauch_kwh,Hauptzähler Bezug,HA,196967,2026-05-11T13:41:30Z
,,1,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,s02_einspeisung_verbrauch_kwh_2,Hauptzähler Einspeisung,HA,8471,2026-05-11T13:37:30Z
,,1,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,s02_einspeisung_verbrauch_kwh_2,Hauptzähler Einspeisung,HA,8472,2026-05-11T13:51:30Z
,,1,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,s02_einspeisung_verbrauch_kwh_2,Hauptzähler Einspeisung,HA,8473,2026-05-11T14:03:40Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12360027,2026-05-11T13:11:40Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12360043,2026-05-11T13:11:50Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12360059,2026-05-11T13:12:00Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12360076,2026-05-11T13:12:10Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12360092,2026-05-11T13:12:20Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12360106.5,2026-05-11T13:12:30Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12360124,2026-05-11T13:12:40Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12360139,2026-05-11T13:12:50Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12360154,2026-05-11T13:13:00Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12360169,2026-05-11T13:13:10Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12360183,2026-05-11T13:13:20Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12360195.5,2026-05-11T13:13:30Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12360212,2026-05-11T13:13:40Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12360225,2026-05-11T13:13:50Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12360239,2026-05-11T13:14:00Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12360253,2026-05-11T13:14:10Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12360267,2026-05-11T13:14:20Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12360280,2026-05-11T13:14:30Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12360294,2026-05-11T13:14:40Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12360308,2026-05-11T13:14:50Z
