"time","kWh.mean_value"
"2026-05-11T15:11:30.000+02:00","12360027"
"2026-05-11T15:11:40.000+02:00","12360043"
"2026-05-11T15:11:50.000+02:00","12360059"
"2026-05-11T15:12:00.000+02:00","12360076"
"2026-05-11T15:12:10.000+02:00","12360092"
"2026-05-11T15:12:20.000+02:00","12360106.5"
"2026-05-11T15:12:30.000+02:00","12360124"
"2026-05-11T15:12:40.000+02:00","12360139"
"2026-05-11T15:12:50.000+02:00","12360154"
"2026-05-11T15:13:00.000+02:00","12360169"
"2026-05-11T15:13:10.000+02:00","12360183"
"2026-05-11T15:13:20.000+02:00","12360195.5"
"2026-05-11T15:13:30.000+02:00","12360212"
"2026-05-11T15:13:40.000+02:00","12360225"
"2026-05-11T15:13:50.000+02:00","12360239"
"2026-05-11T15:14:00.000+02:00","12360253"
"2026-05-11T15:14:10.000+02:00","12360267"
"2026-05-11T15:14:20.000+02:00","12360280"
"2026-05-11T15:14:30.000+02:00","12360294"
"2026-05-11T15:14:40.000+02:00","12360308"
"2026-05-11T15:14:50.000+02:00","12360322"
"2026-05-11T15:15:00.000+02:00","12360336"
"2026-05-11T15:15:10.000+02:00","12360350"
"2026-05-11T15:15:20.000+02:00","12360364"
"2026-05-11T15:15:30.000+02:00","12360378"
"2026-05-11T15:15:40.000+02:00","12360391"
"2026-05-11T15:15:50.000+02:00","12360405"
"2026-05-11T15:16:00.000+02:00","12360419"
"2026-05-11T15:16:10.000+02:00","12360432"
"2026-05-11T15:16:20.000+02:00","12360446"
"2026-05-11T15:16:30.000+02:00","12360460"
"2026-05-11T15:16:40.000+02:00","12360474"
"2026-05-11T15:16:50.000+02:00","12360488"
"2026-05-11T15:17:00.000+02:00","12360503"
"2026-05-11T15:17:10.000+02:00","12360518"
"2026-05-11T15:17:20.000+02:00","12360532"
"2026-05-11T15:17:30.000+02:00","12360547"
"2026-05-11T15:17:40.000+02:00","12360562"
"2026-05-11T15:17:50.000+02:00","12360577"
"2026-05-11T15:18:00.000+02:00","12360592"
"2026-05-11T15:18:10.000+02:00","12360607"
"2026-05-11T15:18:20.000+02:00","12360623"
"2026-05-11T15:18:30.000+02:00","12360639"
"2026-05-11T15:18:40.000+02:00","12360655"
"2026-05-11T15:18:50.000+02:00","12360671"
"2026-05-11T15:19:00.000+02:00","12360687"
"2026-05-11T15:19:10.000+02:00","12360704"
"2026-05-11T15:19:20.000+02:00","12360721"
"2026-05-11T15:19:30.000+02:00","12360739"
"2026-05-11T15:19:40.000+02:00","12360756"
"2026-05-11T15:19:50.000+02:00","12360773"
"2026-05-11T15:20:00.000+02:00","12360791"
"2026-05-11T15:20:10.000+02:00","12360808"
"2026-05-11T15:20:20.000+02:00","12360825"
"2026-05-11T15:20:30.000+02:00","12360843"
"2026-05-11T15:20:40.000+02:00","12360860"
"2026-05-11T15:20:50.000+02:00","12360878"
"2026-05-11T15:21:00.000+02:00","12360896"
"2026-05-11T15:21:10.000+02:00","12360914"
"2026-05-11T15:21:20.000+02:00","12360932"
"2026-05-11T15:21:30.000+02:00","12360950"
"2026-05-11T15:21:40.000+02:00","12360969"
"2026-05-11T15:21:50.000+02:00","12360988"
"2026-05-11T15:22:00.000+02:00","12361007"
"2026-05-11T15:22:10.000+02:00","12361026"
"2026-05-11T15:22:20.000+02:00","12361045"
"2026-05-11T15:22:30.000+02:00","12361064"
"2026-05-11T15:22:40.000+02:00","12361083"
"2026-05-11T15:22:50.000+02:00","12361102"
"2026-05-11T15:23:00.000+02:00","12361121"
"2026-05-11T15:23:10.000+02:00","12361140"
"2026-05-11T15:23:20.000+02:00","12361159"
"2026-05-11T15:23:30.000+02:00","12361178"
"2026-05-11T15:23:40.000+02:00","12361198"
"2026-05-11T15:23:50.000+02:00","12361217"
"2026-05-11T15:24:00.000+02:00","12361236"
"2026-05-11T15:24:10.000+02:00","12361256"
"2026-05-11T15:24:20.000+02:00","12361275"
"2026-05-11T15:24:30.000+02:00","12361294"
"2026-05-11T15:24:40.000+02:00","12361314"
"2026-05-11T15:24:50.000+02:00","12361334"
"2026-05-11T15:25:00.000+02:00","12361353"
"2026-05-11T15:25:10.000+02:00","12361373"
"2026-05-11T15:25:20.000+02:00","12361393"
"2026-05-11T15:25:30.000+02:00","12361413"
"2026-05-11T15:25:40.000+02:00","12361433"
"2026-05-11T15:25:50.000+02:00","12361453"
"2026-05-11T15:26:00.000+02:00","12361474"
"2026-05-11T15:26:10.000+02:00","12361495"
"2026-05-11T15:26:20.000+02:00","12361516"
"2026-05-11T15:26:30.000+02:00","12361537"
"2026-05-11T15:26:40.000+02:00","12361559"
"2026-05-11T15:26:50.000+02:00","12361581"
"2026-05-11T15:27:00.000+02:00","12361603"
"2026-05-11T15:27:10.000+02:00","12361626"
"2026-05-11T15:27:20.000+02:00","12361645.5"
"2026-05-11T15:27:30.000+02:00","12361673"
"2026-05-11T15:27:40.000+02:00","12361697"
"2026-05-11T15:27:50.000+02:00","12361721"
"2026-05-11T15:28:00.000+02:00","12361746"
"2026-05-11T15:28:10.000+02:00","12361771"
"2026-05-11T15:28:20.000+02:00","12361794"
"2026-05-11T15:28:30.000+02:00","12361822"
"2026-05-11T15:28:40.000+02:00","12361849"
"2026-05-11T15:28:50.000+02:00","12361875"
"2026-05-11T15:29:00.000+02:00","12361901"
"2026-05-11T15:29:10.000+02:00","12361927"
"2026-05-11T15:29:20.000+02:00","12361954"
"2026-05-11T15:29:30.000+02:00","12361980"
"2026-05-11T15:29:40.000+02:00","12362006"
"2026-05-11T15:29:50.000+02:00","12362032"
"2026-05-11T15:30:00.000+02:00","12362058"
"2026-05-11T15:30:10.000+02:00","12362085"
"2026-05-11T15:30:20.000+02:00","12362106"
"2026-05-11T15:30:30.000+02:00","12362127"
"2026-05-11T15:30:40.000+02:00","12362148"
"2026-05-11T15:30:50.000+02:00","12362169"
"2026-05-11T15:31:00.000+02:00","12362191"
"2026-05-11T15:31:10.000+02:00","12362217"
"2026-05-11T15:31:20.000+02:00","12362244"
"2026-05-11T15:31:30.000+02:00","12362271"
"2026-05-11T15:31:40.000+02:00","12362299"
"2026-05-11T15:31:50.000+02:00","12362327"
"2026-05-11T15:32:00.000+02:00","12362356"
"2026-05-11T15:32:10.000+02:00","12362386"
"2026-05-11T15:32:20.000+02:00","12362416"
"2026-05-11T15:32:30.000+02:00","12362445"
"2026-05-11T15:32:40.000+02:00","12362474"
"2026-05-11T15:32:50.000+02:00","12362502"
"2026-05-11T15:33:00.000+02:00","12362531"
"2026-05-11T15:33:10.000+02:00","12362559"
"2026-05-11T15:33:20.000+02:00","12362587"
"2026-05-11T15:33:30.000+02:00","12362614"
"2026-05-11T15:33:40.000+02:00","12362642"
"2026-05-11T15:33:50.000+02:00","12362669"
"2026-05-11T15:34:00.000+02:00","12362696"
"2026-05-11T15:34:10.000+02:00","12362722"
"2026-05-11T15:34:20.000+02:00","12362747"
"2026-05-11T15:34:30.000+02:00","12362772"
"2026-05-11T15:34:40.000+02:00","12362796"
"2026-05-11T15:34:50.000+02:00","12362819"
"2026-05-11T15:35:00.000+02:00","12362844"
"2026-05-11T15:35:10.000+02:00","12362868"
"2026-05-11T15:35:20.000+02:00","12362893"
"2026-05-11T15:35:30.000+02:00","12362917"
"2026-05-11T15:35:40.000+02:00","12362941"
